title,label
POC Brainstorm,workshop
Yusuf Patel (FinServ) Call,client
Horizon v2 Planning,planning
Sync: Yusuf / Xiang,one_on_one
Weekly 1:1 Uma,one_on_one
1-1: Sam & Fatima,one_on_one
Legal Town Hall,all_hands
Candidate Debrief,interview
ML Town Hall - Q1 2024,all_hands
Platform DSU,standup
Priya / Carlos,one_on_one
BrightEdge QBR,client
Interview: Wendy - Technical,interview
Morgan Check-in,one_on_one
Legal Happy Hour,social
Finance Cooking Class,social
[Social] Ops Meetup,social
Rachel Behavioral Interview,interview
[Workshop] Legal x ML,workshop
L&L: Nova,workshop
RetailCo POC Review,client
[v3] Sprint Planning,planning
Infra Deep Dive,workshop
Jordan 1:1,one_on_one
RetailCo Discovery Call,client
Finance Working Session,workshop
Product Social,social
OpenPath x Frontend Sync,client
EduBase Partnership Discussion,client
Sync: Taylor / Riley,one_on_one
Interview: Uma - Technical,interview
Data Town Hall 11/09,all_hands
Forge Daily Standup,standup
Eng DSU,standup
Infra standup (Nov 27),standup
BrightEdge Check-in,client
Marketing Tea Time,social
Q3 Strategy Session,planning
Annual Growth Planning,planning
PM Interview: Rachel Johnson,interview
DevOps Planning,planning
Design Workshop - Platform,workshop
Data standup (W12),standup
ML Happy Hour,social
GlobalTech Check-in,client
[Legal] Daily,standup
Frontend Roadmap,planning
Q3 Goal Setting,planning
George Behavioral Interview,interview
Quinn Check-in,one_on_one
Nova Sprint Daily,standup
Weekly Design Check-in,standup
Marketing standup (W29),standup
1-1: Alice & Zoe,one_on_one
Recruiter Screen: Wendy,interview
Finance / Eng Standup,standup
Morgan Patel (BrightEdge) Call,client
DevOps Town Hall,all_hands
Data Sprint Kickoff,planning
DataBridge x Legal Sync,client
Security DSU 2024-08-13,standup
[1:1] Riley - Uma,one_on_one
Marketing Town Hall,all_hands
HR Sprint Planning,planning
Kevin / Jordan,one_on_one
Sales / Security Standup,standup
Hiring: Bob Anderson (Lead),interview
[Social] Backend Gathering,social
Client OpenPath Call,client
Account OpenPath Sync,client
Tara / Laura,one_on_one
Holiday Party,social
10am Standup,standup
1:1 Hannah / Alice,one_on_one
Catch up: Ivan & Kevin,one_on_one
Client CloudNine Sync,client
BrightEdge Onboarding,client
Vega Workshop,workshop
Nexus Sprint Sync,standup
Data Social May 25,social
1:1 Quinn / Uma,one_on_one
[Client] NetCore Review,client
Security Sprint Retro,planning
Q1 All Hands,all_hands
[All Hands] Q4,all_hands
Infra Social W16,social
Priya <> Bob (2024-07-14),one_on_one
Sync: Fatima / Uma,one_on_one
Morning Growth Sync,standup
2025 Milestone Check,planning
Postmortem,workshop
Debrief: Xiang SWE Interview,interview
1-1: Fatima & Bob,one_on_one
Riley Martinez Interview,interview
Strategy Workshop - Growth,workshop
POC v2 Planning,planning
EOD Check-in,standup
BrightEdge Meeting,client
Weekly: Ivan / Riley,one_on_one
Casey - Virtual Onsite,interview
NetCore Check-in,client
GlobalTech x ML Sync,client
GlobalTech — Product Review,client
1:1 Fatima / Priya,one_on_one
RetailCo Renewal Discussion,client
Stand-up,standup
Carlos - Onsite,interview
Data Workshop,workshop
Alex <> Bob,one_on_one
Titan v2 Planning,planning
Trivia Night,social
HR Town Hall,all_hands
Design standup (2024-11-16),standup
Sam & Bob,one_on_one
QA Social,social
Frontend All-Hands,all_hands
QA DSU,standup
L&L: Titan,workshop
Legal Brainstorm: Titan,workshop
Uma <> Yusuf (W45),one_on_one
Platform Social May 02,social
Ethan Johnson | Interview,interview
GlobalTech Pulse Update,client
Data Social 2024-03-25,social
Weekly HR Planning,planning
SkyLine Kickoff,client
Marketing Deep Dive - Q2,workshop
1on1 - Casey,one_on_one
Growth Stand Up,standup
Legal Strategy - 05/09,planning
Laura Martinez <> Victor Martinez,one_on_one
Legal DSU,standup
Design Roadmap,planning
BrightEdge x QA Sync,client
Annual ML Planning,planning
Resource Planning,planning
Sales All Hands - Mar 18,all_hands
[Workshop] Product x DevOps,workshop
Recruiter Screen: Rachel,interview
QA Deep Dive - Orion,workshop
R&D Milestone Review,planning
Nina Check-in,one_on_one
Ivan Martinez | Interview,interview
Data Town Hall - Q4 2024,all_hands
Marketing Roadmap Q4,planning
Sales Interview: Wendy Brown,interview
Frontend Brainstorm: Titan,workshop
1-1: Wendy & Omar,one_on_one
RetailCo — Technical Review,client
Kevin Behavioral Interview,interview
Hiring: Sam Brown (Staff),interview
Marketing Strategy - Jul 11,planning
Alpha Milestone Review,planning
Hiring: George Taylor (SWE),interview
Career Chat: Tara,one_on_one
OpenPath x Ops Sync,client
EOD Sync,standup
SkyLine Intro Call,client
Customer GlobalTech Call,client
Security Brainstorm: Alpha,workshop
1-1: Bob & Zoe,one_on_one
Acme x Legal Sync,client
Jordan x Ivan,one_on_one
2024 Daily Standup,standup
Finance All-Hands (Dec 23),all_hands
Finance Interview: Victor,interview
Finance / Design Standup,standup
1-1: Yusuf & Fatima,one_on_one
Career Chat: Victor,one_on_one
Q1 OKR Review,planning
Titan Roadmap,planning
Finance Offsite,workshop
Infra standup (Oct 28),standup
Morning Engineering Standup,standup
Monthly Ops Planning,planning
Frontend Deep Dive - Q3,workshop
1-1: Riley & Fatima,one_on_one
Sam System Design,interview
Frontend Town Hall,all_hands
Sales Roadmap Review,planning
Quarterly Security Offsite,workshop
[All Hands] 07/13,all_hands
[Interview] Rachel Lee - Product,interview
Zoe & Nina,one_on_one
SkyLine Demo,client
HR Town Hall - Q4 2024,all_hands
OKR Architecture Review,workshop
Quarterly Finance Offsite,workshop
Catch up: Ethan & Tara,one_on_one
Hiring: Bob Anderson (SWE),interview
Ethan Patel | Technical Round,interview
Backend / HR Standup,standup
HealthFirst Beta Update,client
ML / Design Standup,standup
Ops Offsite,workshop
Diana Taylor <> Casey Davis,one_on_one
ML Roadmap W12,planning
[Social] Growth Hangout,social
1:1 Bob / Laura,one_on_one
Monthly Legal Planning,planning
Data Social,social
Laura Behavioral Interview,interview
Victor x Tara,one_on_one
Team Coffee,social
Product DSU 01/25,standup
Julia Thomas (NetCore) Call,client
Omar / Ivan,one_on_one
[MVP] Sprint Planning,planning
[Client] BrightEdge Review,client
Annual Security Planning,planning
Security DSU,standup
Eng Daily Dec 03,standup
RCA Workshop,workshop
Platform All-Hands (07/13),all_hands
Water Cooler,social
External: RetailCo Call,client
Backend Sprint Retro,planning
Monthly 1:1,one_on_one
Hannah Moore | Round 2,interview
1:1 Nina / Nina,one_on_one
EOD Sales Check-in,standup
Sync: Bob / Victor,one_on_one
Design Brainstorm: Q1,workshop
Weekly 1:1 Diana,one_on_one
Eng Tea Time,social
NetCore x Legal Sync,client
HR DSU W45,standup
Ops Deep Dive - Atlas,workshop
H1 Goal Setting,planning
[Social] Infra Hangout,social
[1:1] Morgan - Alex,one_on_one
Titan Milestone Check,planning
Eng Standup - 2024-12-08,standup
Sync: Tara / Kevin,one_on_one
Nexus Milestone Check,planning
Bob / Julia,one_on_one
Weekly 1:1 Riley,one_on_one
Jordan Anderson | Technical Round,interview
PM Interview: Zoe Garcia,interview
Growth DSU,standup
Growth Social 04/04,social
DevOps Roadmap Review,planning
HR Interview: Bob,interview
Casey x Ivan,one_on_one
Q4 Daily Standup,standup
Marcus Farewell Party,social
DataBridge — Technical Review,client
Marketing Roadmap 04/30,planning
[Apex] Sprint Planning,planning
Coffee: Carlos & Riley,social
Marketing Sprint Retro,planning
Sync: Zoe / Diana,one_on_one
Debrief: Zoe PM Interview,interview
[Workshop] Data x Sales,workshop
Ops Deep Dive - Q1,workshop
Nexus Architecture Review,workshop
[Interview] Victor Lee - Data,interview
Zephyr Daily Standup,standup
Horizon Daily Standup,standup
[Interview] Bob Kim - Product,interview
Diana & Omar,one_on_one
Backend Daily W04,standup
Weekly 1:1 Yusuf,one_on_one
Acme v3 Update,client
ML Workshop,workshop
Monthly Town Hall,all_hands
Echo Milestone Check,planning
Hannah & Julia,one_on_one
Infra standup (Q3),standup
Helix Milestone Review,planning
HR Deep Dive - POC,workshop
Eng Roadmap W44,planning
Interview: Jordan - Final,interview
Sync: Quinn / George,one_on_one
QA OKR Planning,planning
Weekly Infra Planning,planning
Random Coffee,social
FinServ — Product Review,client
EOD ML Check-in,standup
Sales All Hands,all_hands
Data Town Hall 04/14,all_hands
Helix Design Review,workshop
Product All-Hands (Q3),all_hands
Backend standup (W43),standup
EOD Eng Sync,standup
QA Roadmap Review,planning
Tech Talk,workshop
1:1 Hannah / Xiang,one_on_one
Coffee: Rachel & Quinn,social
Scrum - Security,standup
Team Lunch,social
Hiring: Taylor Wilson (Staff),interview
Titan Scrum,standup
1:1 Priya / Sam,one_on_one
Design Workshop - Sales,workshop
External: HealthFirst Call,client
Morgan Coding Interview,interview
Annual DevOps Offsite,workshop
Bob x Priya,one_on_one
Casey x Ethan,one_on_one
Apex Scrum,standup
Career Chat: Rachel,one_on_one
Finance Deep Dive - Orion,workshop
Finance Social W04,social
Q1 Goal Setting,planning
Ops All-Hands (Q2),all_hands
L&L: Beta,workshop
Taylor x Bob,one_on_one
Ops Roadmap W13,planning
[Social] QA Hangout,social
CloudNine POC Update,client
1-1: Morgan & Carlos,one_on_one
OpenPath Sync,client
2025 Planning,planning
[Interview] Jordan Smith - Product,interview
Virtual Coffee,social
Strategy Workshop - Finance,workshop
Julia Behavioral Interview,interview
All Hands,all_hands
Marketing Brainstorm: Pulse,workshop
Backend Daily W37,standup
BrightEdge POC Review,client
Wendy / Alice,one_on_one
Sam Phone Screen,interview
[Interview] Nina Taylor - Data,interview
Acme Renewal Discussion,client
Product Offsite W49,workshop
Career Chat: Ethan,one_on_one
CloudNine — Executive Review,client
Platform Lunch,social
1on1 - Kevin,one_on_one
Security Strategy - Nov 29,planning
Acme POC Review,client
ML Brainstorm: Q1,workshop
Legal Offsite,workshop
[Social] QA Meetup,social
RetailCo Demo,client
OKR Design Sprint,workshop
Company All Hands,all_hands
Weekly DevOps Sync,standup
Taylor Farewell Party,social
Backend Town Hall,all_hands
Riley Lee <> Ethan Lee,one_on_one
Sprint Planning,planning
Backend Roadmap W45,planning
HealthFirst Monthly Review,client
1:1 Jordan / Jordan,one_on_one
Design Interview: Morgan,interview
1:1 Ethan / Alice,one_on_one
Acme Partnership Review,client
Annual Product Offsite,workshop
Wendy Wilson (Acme) Call,client
[All Hands] Dec 21,all_hands
ML Stand-up,standup
MVP Daily Standup,standup
ML standup (12/09),standup
EduBase Discovery Call,client
Growth Roadmap Q4,planning
Finance Coffee Chat,social
R&D Sprint Daily,standup
Marketing Strategy - Dec 19,planning
Rachel Chen - Interview,interview
Interview: Victor - Technical,interview
Engineering Company Meeting,all_hands
Wendy Farewell Drinks,social
Alex Davis <> Bob Thomas,one_on_one
QA Team Outing,social
All-Hands Meeting,all_hands
Alpha Scrum,standup
ML Town Hall - Q1 2025,all_hands
Infra standup (11/10),standup
EduBase POC Review,client
Weekly: Kevin / Riley,one_on_one
George Anderson (RetailCo) Call,client
Design / Legal Standup,standup
Acme Demo,client
Q2 Roadmap,planning
GlobalTech Demo,client
Weekly: Fatima / George,one_on_one
External: Acme Sync,client
Monthly All Hands,all_hands
Security Brainstorm: v3,workshop
Platform Brainstorm: 2024,workshop
Sync: Fatima / Morgan,one_on_one
Laura Smith <> Uma Wilson,one_on_one
NetCore Sync,client
Launch Planning,planning
Weekly Engineering Planning,planning
Helix Milestone Check,planning
ML All Hands,all_hands
[Design] Daily,standup
1-1: Nina & Marcus,one_on_one
Quinn - Bar Raiser,interview
HR Brainstorm: Titan,workshop
Security Roadmap Review,planning
Diana Check-in,one_on_one
Vega Milestone Check,planning
[Workshop] Design x DevOps,workshop
QA All-Hands (01/24),all_hands
[Echo] Sprint Planning,planning
Legal Town Hall - Q2 2025,all_hands
PM Interview: Julia Davis,interview
DevOps Celebration,social
Sync: Taylor / Fatima,one_on_one
George Anderson Interview,interview
v3 Kickoff,planning
Marcus Garcia | Final Round,interview
Coffee: Jordan & Alex,social
Diana & Jordan,one_on_one
External: BrightEdge Sync,client
Sales Town Hall Q3,all_hands
Bob Taylor | Round 1,interview
1:1 Uma / Hannah,one_on_one
Annual Security Offsite,workshop
DevOps / Backend Standup,standup
Eng Town Hall - Q3 2025,all_hands
Monthly Finance Planning,planning
Weekly Backend Sync,standup
Ops Coffee Chat,social
Nexus Design Review,workshop
Fatima & Yusuf,one_on_one
Helix Sprint Sync,standup
Pulse Roadmap,planning
Legal Strategy - Oct 02,planning
Ethan <> Alice,one_on_one
Sync: Riley / Morgan,one_on_one
Growth Sprint Planning,planning
Client RetailCo Sync,client
Daily Security Standup,standup
Ivan x Zoe,one_on_one
Interview: Fatima - Round 2,interview
Sync: Alice / Uma,one_on_one
Taylor & Alice,one_on_one
Annual All Hands,all_hands
Zoe & Rachel,one_on_one
Platform Roadmap,planning
Atlas Hackathon,workshop
Sam Farewell Lunch,social
Zephyr Launch All Hands,all_hands
Alex Farewell Drinks,social
Beta Workshop,workshop
[Client] HealthFirst Sync,client
Product Daily W21,standup
Fatima Chen (HealthFirst) Call,client
Eng Backlog Grooming,planning
DataBridge — Executive Review,client
QA standup (07/31),standup
Quarterly Eng Offsite,workshop
Helix Sprint Daily,standup
Casey <> Ivan,one_on_one
Beta v2 Planning,planning
HR Interview: Tara,interview
Phoenix Design Review,workshop
1-1: Alex & Riley,one_on_one
Product All Hands - Mar 24,all_hands
Frontend Volunteering,social
Skip-level 1:1,one_on_one
Catch up: Jordan & George,one_on_one
Laura / Rachel,one_on_one
Alpha Architecture Review,workshop
Coffee: Xiang & Carlos,social
Quarterly ML Offsite,workshop
Annual Data Offsite,workshop
NetCore QBR,client
L&L: Apex,workshop
Finance Town Hall - Q2 2025,all_hands
Alpha Brainstorm,workshop
Design standup (Q3),standup
QA Town Hall Nov 22,all_hands
Fatima Farewell Drinks,social
OpenPath Review,client
Nina - Virtual Onsite,interview
Hiring Manager Interview: Yusuf,interview
Victor Johnson (NetCore) Call,client
1:1 Marcus / Victor,one_on_one
Customer OpenPath Call,client
Growth Daily,standup
Recruiter Screen: Yusuf,interview
Annual Ops Offsite,workshop
Horizon Sprint Sync,standup
PI Planning - Nexus,planning
1-1: Laura & Jordan,one_on_one
Platform OKR Review,planning
Data Town Hall 2024-12-14,all_hands
CloudNine Renewal Discussion,client
HR Sync,standup
Echo Sprint Sync,standup
Finance Happy Hour,social
Morning Design Check-in,standup
Xiang Kim Interview,interview
Rachel / Ivan,one_on_one
[v2] Sprint Planning,planning
Data Daily,standup
Omar Wilson | Round 1,interview
Release Planning,planning
Acme Partnership Call,client
Design Daily Q2,standup
Ethan Wilson <> George Taylor,one_on_one
External: DataBridge Call,client
Laura - Onsite,interview
Beta Milestone Review,planning
BrightEdge Intro Call,client
Carlos Technical Screen,interview
Engineering Town Hall - Q4 2024,all_hands
Titan Brainstorm,workshop
[Q4] Sprint Planning,planning
Diana Brown | Round 1,interview
Recruiter Screen: Marcus,interview
Engineering standup (Q3),standup
Eng Brainstorm: Echo,workshop
[All Hands] 02/29,all_hands
Julia <> Hannah (Aug 17),one_on_one
PI Planning - v2,planning
Engineering Town Hall - Q2 2024,all_hands
Riley Coding Interview,interview
Alice Lee - Interview,interview
Annual Backend Planning,planning
Ops Social,social
External: CloudNine Call,client
George Moore <> Hannah Patel,one_on_one
Coffee: Taylor & Laura,social
Victor Phone Screen,interview
Backend Interview: Kevin,interview
Kevin - Take-home Review,interview
Growth Brainstorm: Nexus,workshop
Career Chat: Hannah,one_on_one
Architecture Workshop - Marketing,workshop
OKR Milestone Check,planning
Diana Farewell Drinks,social
Weekly: Laura / Sam,one_on_one
DataBridge x Eng Sync,client
2025 Design Sprint,workshop
Sync: Tara / Victor,one_on_one
Growth Interview: Sam,interview
Sales All-Hands,all_hands
Laura Check-in,one_on_one
Security Roadmap,planning
ML Town Hall,all_hands
Sync: Quinn / Kevin,one_on_one
Morgan Brown <> Quinn Patel,one_on_one
NetCore Kickoff,client
Career Chat: Omar,one_on_one
Catch up: Alex & Hannah,one_on_one
DevOps Town Hall Q4,all_hands
Laura x Xiang,one_on_one
[Workshop] Eng x Data,workshop
Data Interview: Yusuf,interview
v2 Sprint Daily,standup
[Sales] Daily,standup
Sam Coding Interview,interview
Catch up: Ivan & Yusuf,one_on_one
GlobalTech Intro Call,client
Monthly Frontend Planning,planning
[Social] HR Hangout,social
Casey Taylor (HealthFirst) Intro,client
1-1: Laura & Priya,one_on_one
Recruiter Screen: Ivan,interview
Engineering DSU 12/10,standup
Account NetCore Sync,client
Interview: Sam - Round 2,interview
Catch up: Marcus & Casey,one_on_one
Q3 Milestone Check,planning
Tara 1:1,one_on_one
[Workshop] Infra x QA,workshop
GlobalTech QBR,client
[POC] Sprint Planning,planning
Coffee: Kevin & Marcus,social
Platform Brainstorm: Nova,workshop
2025 Milestone Review,planning
ML Roadmap Mar 15,planning
Debrief: Marcus SWE Interview,interview
HR Offsite Dinner,social
SkyLine Partnership Review,client
Weekly: Laura / Xiang,one_on_one
[Client] HealthFirst Review,client
Ivan Farewell Lunch,social
[Social] Ops Hangout,social
[All Hands] Aug 10,all_hands
Team Dinner,social
Legal All-Hands (W01),all_hands
Weekly: Kevin / Victor,one_on_one
[Workshop] HR x Finance,workshop
QA Offsite,workshop
Engineering Volunteering,social
QA Social Q3,social
Security standup (Nov 16),standup
Security Offsite,workshop
Xiang Behavioral Interview,interview
Orion Scrum,standup
Annual Frontend Offsite,workshop
Hiring Manager Interview: Casey,interview
Hiring Manager Interview: Sam,interview
CloudNine R&D Update,client
OpenPath OKR Update,client
Career Chat: Wendy,one_on_one
OKR Daily Standup,standup
Growth Offsite 2024-12-09,workshop
DevOps Daily,standup
BrightEdge Demo,client
Finance All-Hands (Q3),all_hands
Weekly 1:1 Jordan,one_on_one
Eng Stand-up,standup
Victor - Virtual Onsite,interview
RetailCo Q3 Update,client
Q3 Kickoff,planning
Backend Stand-up,standup
Monthly Growth Planning,planning
QA Deep Dive - Pulse,workshop
BrightEdge Weekly Sync,client
[1:1] George - Hannah,one_on_one
Atlas Milestone Review,planning
1-1: Uma & Diana,one_on_one
DS Interview: Wendy Brown,interview
